ID,CRIME,ZN,INDUS,RIVER,AGE,LSTAT
1101,0.00632,18.0,2.31,FAR,65.2,4.98
1102,0.02731,0.0,7.07,FAR,78.9,9.14
1103,0.02729,0.0,7.07,FAR,61.1,4.03
1104,0.03237,0.0,2.18,FAR,45.8,2.94
1105,0.06905,0.0,2.18,FAR,54.2,
1106,0.02985,0.0,2.18,FAR,58.7,5.21
1107,0.08829,12.5,7.87,,66.6,12.43
1108,0.14455,12.5,7.87,FAR,96.1,19.15
1109,0.21124,12.5,7.87,FAR,100.0,29.93
1110,0.17004,12.5,7.87,,85.9,17.1
1111,0.22489,12.5,7.87,FAR,94.3,20.45
1112,0.11747,12.5,7.87,FAR,82.9,13.27
1113,0.09378,12.5,7.87,FAR,39.0,15.71
1114,0.62976,0.0,8.14,FAR,61.8,8.26
1115,0.63796,0.0,8.14,,84.5,10.26
1116,0.62739,0.0,8.14,FAR,56.5,8.47
1117,1.05393,0.0,8.14,FAR,29.3,6.58
1118,0.7842,0.0,8.14,FAR,81.7,14.67
1119,0.80271,0.0,8.14,FAR,36.6,11.69
1120,0.7258,0.0,8.14,FAR,69.5,11.28
1121,1.25179,0.0,8.14,FAR,98.1,21.02
1122,0.85204,0.0,8.14,FAR,89.2,13.83
1123,1.23247,0.0,8.14,FAR,91.7,18.72
1124,0.98843,0.0,8.14,FAR,100.0,19.88
1125,0.75026,0.0,8.14,FAR,94.1,16.3
1126,0.84054,0.0,8.14,FAR,85.7,16.51
1127,0.67191,0.0,8.14,FAR,90.3,14.81
1128,0.95577,0.0,8.14,FAR,88.8,17.28
1129,0.77299,0.0,8.14,FAR,94.4,12.8
1130,1.00245,0.0,8.14,FAR,87.3,11.98
1131,1.13081,0.0,8.14,FAR,94.1,22.6
1132,1.35472,0.0,8.14,FAR,100.0,13.04
1133,1.38799,0.0,8.14,FAR,82.0,27.71
1134,1.15172,0.0,8.14,FAR,95.0,18.35
1135,1.61282,0.0,8.14,FAR,96.9,20.34
1136,0.06417,0.0,5.96,FAR,68.2,
1137,0.09744,0.0,,FAR,61.4,11.41
1138,0.08014,0.0,5.96,FAR,41.5,8.77
1139,0.17505,0.0,5.96,FAR,30.2,10.13
1140,0.02763,75.0,2.95,FAR,21.8,4.32
1141,0.03359,75.0,2.95,FAR,15.8,1.98
1142,0.12744,0.0,6.91,FAR,2.9,4.84
1143,0.1415,0.0,6.91,FAR,6.6,5.81
1144,0.15936,0.0,6.91,,6.5,7.44
1145,0.12269,0.0,6.91,FAR,40.0,9.55
1146,0.17142,0.0,6.91,FAR,33.8,10.21
1147,0.18836,0.0,6.91,FAR,33.3,14.15
1148,0.22927,0.0,,FAR,85.5,18.8
1149,0.25387,0.0,6.91,FAR,95.3,30.81
1150,0.21977,0.0,6.91,FAR,62.0,16.2
1151,0.08873,21.0,5.64,FAR,45.7,13.45
1152,0.04337,21.0,,FAR,63.0,9.43
1153,0.0536,21.0,5.64,FAR,21.1,5.28
1154,,21.0,5.64,FAR,21.4,8.43
1155,0.0136,75.0,4.0,FAR,47.6,14.8
1156,0.01311,90.0,1.22,FAR,21.9,4.81
1157,0.02055,85.0,0.74,FAR,35.7,5.77
1158,0.01432,100.0,1.32,FAR,40.5,3.95
1159,0.15445,25.0,5.13,FAR,29.2,6.86
1160,0.10328,25.0,5.13,FAR,47.2,9.22
1161,0.14932,25.0,5.13,FAR,66.2,13.15
1162,0.17171,25.0,5.13,FAR,93.4,14.44
1163,0.11027,25.0,5.13,FAR,67.8,6.73
1164,0.1265,25.0,5.13,FAR,43.4,9.5
1165,0.01951,17.5,1.38,FAR,59.5,8.05
1166,0.03584,80.0,3.37,FAR,17.8,4.67
1167,0.04379,80.0,3.37,FAR,31.1,10.24
1168,0.05789,12.5,6.07,FAR,21.4,8.1
1169,0.13554,12.5,6.07,FAR,36.8,13.09
1170,0.12816,12.5,6.07,FAR,33.0,8.79
