ID,NOX,ROOM,DIS_CENTER,ROAD_ACCESS,TAX,PTRATIO,B,MEDV
1101,0.538,6.575,4.09,BEST,296,15.3,396.9,24.0
1102,0.469,6.421,4.9671,GOOD,242,17.8,396.9,21.6
1103,0.469,7.185,4.9671,GOOD,242,17.8,392.83,34.7
1104,0.458,6.998,6.0622,GOOD,222,18.7,394.63,33.4
1105,0.458,7.147,6.0622,GOOD,222,18.7,396.9,36.2
1106,0.458,6.43,6.0622,GOOD,222,18.7,394.12,28.7
1107,0.524,6.012,5.5605,NORMAL,311,15.2,395.6,22.9
1108,0.524,6.172,5.9505,NORMAL,311,15.2,396.9,27.1
1109,0.524,5.631,6.0821,NORMAL,311,15.2,386.63,16.5
1110,0.524,6.004,6.5921,NORMAL,311,15.2,386.71,18.9
1111,0.524,6.377,6.3467,NORMAL,311,15.2,392.52,15.0
1112,0.524,6.009,6.2267,NORMAL,311,15.2,396.9,18.9
1113,0.524,5.889,5.4509,NORMAL,311,15.2,390.5,21.7
1114,0.538,5.949,4.7075,NORMAL,307,21.0,396.9,20.4
1115,0.538,6.096,4.4619,NORMAL,307,21.0,380.02,18.2
1116,0.538,5.834,4.4986,NORMAL,307,21.0,395.62,19.9
1117,0.538,5.935,4.4986,NORMAL,307,21.0,386.85,23.1
1118,0.538,5.99,4.2579,NORMAL,307,21.0,386.75,17.5
1119,0.538,5.456,3.7965,NORMAL,307,21.0,288.99,20.2
1120,0.538,5.727,3.7965,NORMAL,307,21.0,390.95,18.2
1121,0.538,5.57,3.7979,NORMAL,307,21.0,376.57,13.6
1122,0.538,5.965,4.0123,NORMAL,307,21.0,392.53,19.6
1123,0.538,6.142,3.9769,NORMAL,307,21.0,396.9,15.2
1124,0.538,5.813,4.0952,NORMAL,307,21.0,394.54,14.5
1125,0.538,5.924,4.3996,NORMAL,307,21.0,394.33,15.6
1126,0.538,5.599,4.4546,NORMAL,307,21.0,303.42,13.9
1127,0.538,5.813,4.682,NORMAL,307,21.0,376.88,16.6
1128,0.538,6.047,4.4534,NORMAL,307,21.0,306.38,14.8
1129,0.538,6.495,4.4547,NORMAL,307,21.0,387.94,18.4
1130,0.538,6.674,4.239,NORMAL,307,21.0,380.23,21.0
1131,0.538,5.713,4.233,NORMAL,307,21.0,360.17,12.7
1132,0.538,6.072,4.175,NORMAL,307,21.0,376.73,14.5
1133,0.538,5.95,3.99,NORMAL,307,21.0,232.6,13.2
1134,0.538,5.701,3.7872,NORMAL,307,21.0,358.77,13.1
1135,0.538,6.096,3.7598,NORMAL,307,21.0,248.31,13.5
1136,0.499,5.933,3.3603,NORMAL,279,19.2,396.9,18.9
1137,0.499,5.841,3.3779,NORMAL,279,19.2,377.56,20.0
1138,0.499,5.85,3.9342,NORMAL,279,19.2,396.9,21.0
1139,0.499,5.966,3.8473,NORMAL,279,19.2,393.43,24.7
1140,0.428,6.595,5.4011,GOOD,252,18.3,395.63,30.8
1141,0.428,7.024,5.4011,GOOD,252,18.3,395.62,34.9
1142,0.448,6.77,5.7209,GOOD,233,17.9,385.41,26.6
