ID,NOX,ROOM,DIS_CENTER,ROAD_ACCESS,TAX,PTRATIO,B,MEDV
1354,0.431,8.259,8.9067,BAD,330,19.1,396.9,42.8
1355,0.392,6.108,9.2203,BEST,315,16.4,392.89,21.9
1356,0.392,5.876,9.2203,BEST,315,16.4,395.18,20.9
1357,0.394,7.454,6.3361,GOOD,244,15.9,386.34,44.0
1358,0.647,8.704,1.801,NORMAL,264,13.0,389.7,50.0
1359,0.647,7.333,1.8946,NORMAL,264,13.0,383.29,36.0
1360,0.647,6.842,2.0107,NORMAL,264,13.0,391.93,30.1
1361,0.647,7.203,2.1121,NORMAL,264,13.0,392.8,33.8
1362,0.647,7.52,2.1398,NORMAL,264,13.0,388.37,43.1
1363,0.647,8.398,2.2885,NORMAL,264,13.0,386.86,48.8
1364,0.647,7.327,2.0788,NORMAL,264,13.0,393.42,31.0
1365,0.647,7.206,1.9301,NORMAL,264,13.0,387.89,36.5
1366,0.647,5.56,1.9865,NORMAL,264,13.0,392.4,22.8
1367,0.647,7.014,2.1329,NORMAL,264,13.0,384.07,30.7
1368,0.575,8.297,2.4216,NORMAL,264,13.0,384.54,50.0
1369,0.575,7.47,2.872,NORMAL,264,13.0,390.3,43.5
1370,0.464,5.92,3.9175,GOOD,223,18.6,391.34,20.7
1371,0.464,5.856,4.429,GOOD,223,18.6,388.65,21.1
1372,0.464,6.24,4.429,GOOD,223,18.6,396.9,25.2
1373,0.464,6.538,3.9175,GOOD,223,18.6,394.96,24.4
1374,0.464,7.691,4.3665,GOOD,223,18.6,390.77,35.2
1375,0.447,6.758,4.0776,NORMAL,254,17.6,396.9,32.4
1376,0.447,6.854,4.2673,NORMAL,254,17.6,396.9,32.0
1377,0.447,7.267,4.7872,NORMAL,254,17.6,389.25,33.2
1378,0.447,6.826,4.8628,NORMAL,254,17.6,393.45,33.1
1379,0.447,6.482,4.1403,NORMAL,254,17.6,396.9,29.1
1380,0.4429,6.812,4.1007,NORMAL,216,14.9,396.9,35.1
1381,0.4429,7.82,4.6947,NORMAL,216,14.9,387.31,45.4
1382,0.4429,6.968,5.2447,NORMAL,216,14.9,392.23,35.4
1383,0.4429,7.645,5.2119,NORMAL,216,14.9,377.07,46.0
1384,0.401,7.923,5.885,BEST,198,13.6,395.52,50.0
1385,0.4,7.088,7.3073,BEST,285,15.3,394.72,32.2
1386,0.389,6.453,7.3073,BEST,300,15.3,394.72,22.0
1387,0.385,6.23,9.0892,BEST,241,18.2,341.6,20.1
1388,0.405,6.209,7.3172,NORMAL,293,16.6,396.9,23.2
1389,0.405,6.315,7.3172,NORMAL,293,16.6,396.9,22.3
1390,0.405,6.565,7.3172,NORMAL,293,16.6,371.72,24.8
1391,0.411,6.861,5.1167,NORMAL,245,19.2,396.9,28.5
1392,0.411,7.148,5.1167,NORMAL,245,19.2,396.9,37.3
1393,0.411,6.63,5.1167,NORMAL,245,19.2,396.9,27.9
1394,0.437,6.127,5.5027,NORMAL,289,16.0,396.9,23.9
1395,0.437,6.009,5.5027,NORMAL,289,16.0,396.9,21.7
1396,0.437,6.678,5.9604,NORMAL,289,16.0,396.9,28.6
1397,0.437,6.549,5.9604,NORMAL,289,16.0,392.85,27.1
1398,0.437,5.79,6.32,NORMAL,289,16.0,396.9,20.3
1399,0.4,6.345,7.8278,NORMAL,358,14.8,368.24,22.5
1400,0.4,7.041,7.8278,NORMAL,358,14.8,371.58,29.0
1401,0.4,6.871,7.8278,NORMAL,358,14.8,390.86,24.8
1402,0.433,6.59,5.4917,BAD,329,16.1,395.75,22.0
1403,0.433,6.495,5.4917,BAD,329,16.1,383.61,26.4
1404,0.433,6.982,5.4917,BAD,329,16.1,390.43,33.1
1405,0.472,7.236,4.022,BAD,222,18.4,393.68,36.1
