ID,CRIME,ZN,INDUS,RIVER,AGE,LSTAT
1354,0.36894,22.0,5.86,FAR,8.4,3.54
1355,0.04819,80.0,3.64,,32.0,6.57
1356,0.03548,80.0,3.64,FAR,19.1,9.25
1357,0.01538,90.0,3.75,FAR,34.2,3.11
1358,0.61154,20.0,3.97,FAR,86.9,5.12
1359,0.66351,20.0,3.97,FAR,100.0,7.79
1360,0.65665,20.0,3.97,FAR,100.0,6.9
1361,0.54011,20.0,3.97,FAR,81.8,9.59
1362,0.53412,20.0,3.97,FAR,89.4,7.26
1363,,20.0,3.97,FAR,91.5,5.91
1364,0.82526,20.0,3.97,FAR,94.5,11.25
1365,0.55007,20.0,3.97,FAR,91.6,8.1
1366,0.76162,20.0,3.97,FAR,62.8,10.45
1367,0.7857,,3.97,FAR,84.6,14.79
1368,0.57834,20.0,3.97,FAR,67.0,7.44
1369,0.5405,20.0,3.97,FAR,52.6,3.16
1370,0.09065,20.0,6.96,NEAR,61.5,13.65
1371,0.29916,20.0,6.96,FAR,42.1,13.0
1372,0.16211,20.0,6.96,FAR,16.3,
1373,0.1146,20.0,6.96,FAR,58.7,7.73
1374,0.22188,20.0,6.96,NEAR,51.8,6.58
1375,0.05644,40.0,6.41,NEAR,32.9,3.53
1376,0.09604,40.0,6.41,FAR,42.8,2.98
1377,0.10469,40.0,6.41,NEAR,49.0,6.05
1378,0.06127,40.0,6.41,NEAR,27.6,
1379,0.07978,40.0,6.41,FAR,32.1,7.19
1380,0.21038,20.0,3.33,FAR,32.2,4.85
1381,0.03578,20.0,3.33,FAR,64.5,3.76
1382,0.03705,20.0,3.33,FAR,,4.59
1383,0.06129,20.0,3.33,NEAR,49.7,3.01
1384,0.01501,90.0,1.21,NEAR,24.8,3.16
1385,0.00906,90.0,2.97,FAR,20.8,7.85
1386,0.01096,55.0,2.25,FAR,31.9,8.23
1387,0.01965,80.0,1.76,FAR,,12.93
1388,0.03871,52.5,5.32,FAR,31.3,7.14
1389,,52.5,5.32,FAR,45.6,7.6
1390,0.04297,52.5,5.32,FAR,22.9,9.51
1391,0.03502,80.0,4.95,FAR,27.9,3.33
1392,0.07886,80.0,4.95,FAR,27.7,3.56
1393,0.03615,80.0,,FAR,23.4,4.7
1394,0.08265,0.0,13.92,FAR,18.4,8.58
1395,0.08199,0.0,13.92,,42.3,10.4
1396,0.12932,0.0,13.92,FAR,31.1,6.27
1397,0.05372,0.0,13.92,FAR,51.0,7.39
1398,0.14103,0.0,,FAR,58.0,15.84
1399,0.06466,70.0,2.24,FAR,20.1,4.97
1400,0.05561,70.0,2.24,FAR,10.0,4.74
1401,0.04417,70.0,2.24,FAR,47.4,6.07
1402,0.03537,,6.09,FAR,40.4,9.5
1403,,34.0,6.09,FAR,18.4,8.67
1404,0.1,,6.09,FAR,17.7,4.86
1405,0.05515,33.0,2.18,FAR,41.1,6.93
1406,0.05479,33.0,,FAR,58.1,8.93
1407,0.07503,33.0,2.18,FAR,71.9,6.47
1408,0.04932,33.0,2.18,FAR,70.3,7.53
1409,0.49298,0.0,9.9,FAR,82.5,4.54
1410,0.3494,0.0,9.9,FAR,76.7,9.97
1411,2.63548,0.0,9.9,FAR,37.8,12.64
1412,0.79041,0.0,9.9,FAR,52.8,5.98
1413,0.26169,0.0,9.9,FAR,90.4,11.72
1414,0.26938,0.0,9.9,FAR,82.8,7.9
1415,0.3692,0.0,9.9,FAR,87.3,9.28
1416,0.25356,0.0,9.9,FAR,77.7,11.5
1417,0.31827,0.0,9.9,FAR,,18.33
1418,0.24522,0.0,9.9,FAR,71.7,15.94
1419,0.40202,0.0,9.9,FAR,67.2,10.36
1420,0.47547,0.0,9.9,FAR,58.8,12.73
1421,0.1676,0.0,7.38,FAR,52.3,7.2
1422,0.18159,0.0,7.38,FAR,54.3,6.87
1423,0.35114,0.0,7.38,FAR,49.9,7.7
1424,0.28392,0.0,7.38,FAR,74.3,11.74
1425,0.34109,0.0,7.38,FAR,40.1,6.12
1426,0.19186,0.0,7.38,FAR,14.7,5.08
1427,0.30347,0.0,7.38,FAR,28.9,6.15
1428,0.24103,0.0,7.38,FAR,43.7,12.79
1429,0.06617,0.0,3.24,FAR,25.8,9.97
1430,0.06724,0.0,3.24,FAR,17.2,7.34
1431,0.04544,,3.24,FAR,32.2,9.09
1432,0.05023,35.0,6.06,FAR,28.4,12.43
1433,0.03466,,6.06,FAR,23.3,7.83
1434,0.05083,0.0,5.19,FAR,38.1,5.68
1435,0.03738,0.0,5.19,FAR,38.5,6.75
1436,0.03961,0.0,5.19,FAR,34.5,8.01
1437,0.03427,0.0,5.19,FAR,46.3,9.8
1438,0.03041,0.0,5.19,FAR,59.6,10.56
1439,0.03306,0.0,5.19,FAR,37.3,8.51
1440,0.05497,0.0,5.19,FAR,45.4,9.74
1441,0.06151,0.0,5.19,FAR,58.5,9.29
1442,0.01301,35.0,1.52,FAR,49.3,5.49
1443,0.02498,0.0,1.89,FAR,59.7,8.65
1444,0.02543,55.0,3.78,FAR,56.4,7.18
1445,0.03049,55.0,,FAR,28.1,4.61
1446,0.03113,0.0,4.39,FAR,48.5,10.53
1447,0.06162,0.0,4.39,FAR,52.3,12.67
1448,0.0187,85.0,4.15,FAR,27.7,6.36
1449,0.01501,80.0,2.01,FAR,29.7,5.99
1450,0.02899,40.0,1.25,FAR,34.5,
1451,0.06211,,1.25,FAR,44.4,
1452,0.0795,60.0,1.69,FAR,35.9,5.49
1453,0.07244,60.0,1.69,FAR,18.5,7.79
